Country,Year,Gender_Female,Gender_Male,Gender_Total,Age_Under18,Age_Over18,Age_Total,VALUE
Azerbaijan,2003-01-01,0,0,1,0,0,1,155
Belgium,2003-01-01,0,0,1,0,0,1,61959
Canada,2003-01-01,0,0,1,0,0,1,48135
Switzerland,2003-01-01,0,0,1,0,0,1,6732
Cyprus,2003-01-01,0,0,1,0,0,1,135
Germany,2003-01-01,0,0,1,0,0,1,445727
Finland,2003-01-01,0,0,1,0,0,1,28835
France,2003-01-01,0,0,1,0,0,1,135003
United Kingdom (England and Wales),2003-01-01,0,0,1,0,0,1,455514
United Kingdom (Northern Ireland),2003-01-01,0,0,1,0,0,1,1116
United Kingdom (Scotland),2003-01-01,0,0,1,0,0,1,62330
Greece,2003-01-01,0,0,1,0,0,1,7663
Croatia,2003-01-01,0,0,1,0,0,1,1249
Hungary,2003-01-01,0,0,1,0,0,1,11442
Ireland,2003-01-01,0,0,1,0,0,1,11792
Lithuania,2003-01-01,0,0,1,0,0,1,543
Latvia,2003-01-01,0,0,1,0,0,1,883
Morocco,2003-01-01,0,0,1,0,0,1,48662
Mongolia,2003-01-01,0,0,1,0,0,1,2440
Netherlands (Kingdom of the),2003-01-01,0,0,1,0,0,1,53500
Norway,2003-01-01,0,0,1,0,0,1,2804
Romania,2003-01-01,0,0,1,0,0,1,9641
Slovakia,2003-01-01,0,0,1,0,0,1,4076
Slovenia,2003-01-01,0,0,1,0,0,1,2400
Sweden,2003-01-01,0,0,1,0,0,1,65177
Austria,2004-01-01,0,0,1,0,0,1,3584
Azerbaijan,2004-01-01,0,0,1,0,0,1,171
Belgium,2004-01-01,0,0,1,0,0,1,64811
Barbados,2004-01-01,0,0,1,0,0,1,1610
Canada,2004-01-01,0,0,1,0,0,1,49376
Switzerland,2004-01-01,0,0,1,0,0,1,8198
Colombia,2004-01-01,0,0,1,0,0,1,32534
Cyprus,2004-01-01,0,0,1,0,0,1,172
Czechia,2004-01-01,0,0,1,0,0,1,23579
Germany,2004-01-01,0,0,1,0,0,1,474575
Finland,2004-01-01,0,0,1,0,0,1,29782
France,2004-01-01,0,0,1,0,0,1,137679
United Kingdom (England and Wales),2004-01-01,0,0,1,0,0,1,513173
United Kingdom (Northern Ireland),2004-01-01,0,0,1,0,0,1,1089
United Kingdom (Scotland),2004-01-01,0,0,1,0,0,1,80486
Greece,2004-01-01,0,0,1,0,0,1,7606
Guatemala,2004-01-01,0,0,1,0,0,1,6443
Croatia,2004-01-01,0,0,1,0,0,1,1153
Hungary,2004-01-01,0,0,1,0,0,1,12514
Ireland,2004-01-01,0,0,1,0,0,1,12255
Italy,2004-01-01,0,0,1,0,0,1,51823
Lithuania,2004-01-01,0,0,1,0,0,1,454
Latvia,2004-01-01,0,0,1,0,0,1,872
Morocco,2004-01-01,0,0,1,0,0,1,46067
Mexico,2004-01-01,0,0,1,0,0,1,246338
Mongolia,2004-01-01,0,0,1,0,0,1,2846
Netherlands (Kingdom of the),2004-01-01,0,0,1,0,0,1,55300
Norway,2004-01-01,0,0,1,0,0,1,2884
Romania,2004-01-01,0,0,1,0,0,1,9201
Slovakia,2004-01-01,0,0,1,0,0,1,3810
Slovenia,2004-01-01,0,0,1,0,0,1,2379
Sweden,2004-01-01,0,0,1,0,0,1,67089
Albania,2005-01-01,0,0,1,0,0,1,165
Austria,2005-01-01,0,0,1,0,0,1,3611
Azerbaijan,2005-01-01,0,0,1,0,0,1,165
Belgium,2005-01-01,0,0,1,0,0,1,67418
Bolivia (Plurinational State of),2005-01-01,0,0,1,0,0,1,6026
Barbados,2005-01-01,0,0,1,0,0,1,1731
Canada,2005-01-01,0,0,1,0,0,1,53451
Switzerland,2005-01-01,0,0,1,0,0,1,8099
Colombia,2005-01-01,0,0,1,0,0,1,30415
Cyprus,2005-01-01,0,0,1,0,0,1,132
Czechia,2005-01-01,0,0,1,0,0,1,21684
Germany,2005-01-01,0,0,1,0,0,1,494329
Spain,2005-01-01,0,0,1,0,0,1,172824
Finland,2005-01-01,0,0,1,0,0,1,30467
France,2005-01-01,0,0,1,0,0,1,148651
United Kingdom (England and Wales),2005-01-01,0,0,1,0,0,1,541455
United Kingdom (Northern Ireland),2005-01-01,0,0,1,0,0,1,1095
United Kingdom (Scotland),2005-01-01,0,0,1,0,0,1,78601
Greece,2005-01-01,0,0,1,0,0,1,7777
Grenada,2005-01-01,0,0,1,0,0,1,1894
Guatemala,2005-01-01,0,0,1,0,0,1,6095
Croatia,2005-01-01,0,0,1,0,0,1,1153
Hungary,2005-01-01,0,0,1,0,0,1,12339
Ireland,2005-01-01,0,0,1,0,0,1,12479
Italy,2005-01-01,0,0,1,0,0,1,56629
Lithuania,2005-01-01,0,0,1,0,0,1,407
Latvia,2005-01-01,0,0,1,0,0,1,1100
Morocco,2005-01-01,0,0,1,0,0,1,32623
Mexico,2005-01-01,0,0,1,0,0,1,239166
Mongolia,2005-01-01,0,0,1,0,0,1,2991
Netherlands (Kingdom of the),2005-01-01,0,0,1,0,0,1,67060
Norway,2005-01-01,0,0,1,0,0,1,2961
New Zealand,2005-01-01,0,0,1,0,0,1,9683
